*********************************************
*** Started on 2023-07-08 17:49:32.522642 ***
*********************************************

Mod ID: 6b8f52bd-4262-4cc6-b21f-ecdbcf3dbc56
Mod Name: 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Comp.Name: 츠카츠키리오의밀레니엄사이언스스쿨
Mod Authors: N/A

Mod Name (no extra): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Name (clean): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Comp.Name (clean): 츠카츠키리오의밀레니엄사이언스스쿨

Mod Name (HTML): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Name (HTML - en_US): Tsukatsuki Rio's Millennium Science School

CREATED: C:/Users/humpel/Documents/Firaxis ModBuddy/Civilization VI/CTC - ComputerTranslatedCivilizations/CTC - Computer Translated Civilizations/2976893035

CREATED DIR (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035\Tsukatsuki_Rio.modinfo


------------------------------------------------------------
FrontEndActions:
------------------------------------------------------------
XML file found: BA_Text.xml
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_Text.xml
XML file found: BA_ConfigText.xml
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_ConfigText.xml

------------------------------------------------------------
InGameActions:
------------------------------------------------------------
XML file found: BA_ConfigText.xml
Found (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_ConfigText.xml

XML file found: BA_Text.xml
Found (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_Text.xml


------------------------------------------------------------
Entries found: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
FrontEnd entries: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
InGame entries: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
------------------------------------------------------------
Max entries: ['ko_KR']
Default language: ko_KR: 52


FrontEnd translations:

  1 - LOC_PEDIA_CIVILIZATIONS_PAGE_CIVILIZATION_BA_MILLENNIUM_CHAPTER_HISTORY_PARA_1:  (164) ->  en_US(429)   fr_FR(459)   de_DE(548)   it_IT(462)   es_ES(473)   ja_JP(126)   ru_RU(440)   pl_PL(409)   zh_Hans_CN(96)   zh_Hant_HK(96)   
  32 - LOC_CITIZEN_MILLENNIUM_FEMALE_19 :  (2) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  33 - LOC_CIVLIZATION_MILLENNIUM_CITY_1 :  (7) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  34 - LOC_CIVLIZATION_MILLENNIUM_CITY_2 :  (9) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  35 - LOC_CIVLIZATION_MILLENNIUM_CITY_3 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  36 - LOC_CIVLIZATION_MILLENNIUM_CITY_4 :  (5) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  37 - LOC_CIVLIZATION_MILLENNIUM_CITY_5 :  (6) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  38 - LOC_CIVLIZATION_MILLENNIUM_CITY_6 :  (6) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  39 - LOC_CIVLIZATION_MILLENNIUM_CITY_7 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  40 - LOC_CIVLIZATION_MILLENNIUM_CITY_8 :  (7) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  41 - LOC_CIVLIZATION_MILLENNIUM_CITY_9 :  (8) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  42 - LOC_CIVLIZATION_MILLENNIUM_CITY_10 :  (9) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  43 - LOC_CIVINFO_BA_MILLENNIUM_LOCATION :  (4) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  44 - LOC_LEADER_BA_TSUKATSUKI_RIO_QUOTE :  (22) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  45 - LOC_AGENDA_BA_TSUKATSUKI_RIO_NAME :  (5) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  46 - LOC_AGENDA_BA_TSUKATSUKI_RIO_DESCRIPTION :  (59) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  47 - LOC_DIPLO_KUDO_LEADER_BA_TSUKATSUKI_RIO_REASON_ANY :  (18) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  48 - LOC_DIPLO_MODIFIER_BA_TSUKATSUKI_RIO_HAPPY :  (9) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  49 - LOC_DIPLO_WARNING_LEADER_BA_TSUKATSUKI_RIO_REASON_ANY :  (17) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  50 - LOC_DIPLO_MODIFIER_BA_TSUKATSUKI_RIO_UNHAPPY :  (6) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  51 - LOC_BA_NO_NAVAL_PENALTY_DESCRIPTION :  (15) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  52 - LOC_DISTRICT_CAMPUS_PRODUCTION :  (35) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   

------------------------------------------------------------
Entries translated: {'en_US': 52, 'fr_FR': 52, 'de_DE': 52, 'it_IT': 52, 'es_ES': 52, 'ja_JP': 52, 'ru_RU': 52, 'pl_PL': 52, 'ko_KR': 0, 'zh_Hans_CN': 52, 'zh_Hant_HK': 52}
FrontEnd entries: {'en_US': 52, 'fr_FR': 52, 'de_DE': 52, 'it_IT': 52, 'es_ES': 52, 'ja_JP': 52, 'ru_RU': 52, 'pl_PL': 52, 'ko_KR': 0, 'zh_Hans_CN': 52, 'zh_Hant_HK': 52}
InGame entries: {'en_US': 52, 'fr_FR': 52, 'de_DE': 52, 'it_IT': 52, 'es_ES': 52, 'ja_JP': 52, 'ru_RU': 52, 'pl_PL': 52, 'ko_KR': 0, 'zh_Hans_CN': 52, 'zh_Hant_HK': 52}
------------------------------------------------------------

FrontEnd file for en_US
InGame file for en_US
FrontEnd file for fr_FR
InGame file for fr_FR
FrontEnd file for de_DE
InGame file for de_DE
FrontEnd file for it_IT
InGame file for it_IT
FrontEnd file for es_ES
InGame file for es_ES
FrontEnd file for ja_JP
InGame file for ja_JP
FrontEnd file for ru_RU
InGame file for ru_RU
FrontEnd file for pl_PL
InGame file for pl_PL
FrontEnd file for zh_Hans_CN
InGame file for zh_Hans_CN
FrontEnd file for zh_Hant_HK
InGame file for zh_Hant_HK

------------------------------------------------------------
Building ModBuddy File
------------------------------------------------------------
C:/Users/humpel/Documents/Firaxis ModBuddy/Civilization VI/CTC - ComputerTranslatedCivilizations/CTC - Computer Translated Civilizations/CTC - Computer Translated Civilizations.civ6proj
  ActionCriteriaData -------
    Comment line ADDED!
    ActionCriteria FrontEnd node ADDED: 2976893035_FrontEnd
    ActionCriteria InGame node ADDED: 2976893035_InGame
  FrontEndActionData -------
    Comment line ADDED!
    UpdateText node ADDED! 2976893035_FrontEnd
      File node ADDED: 2976893035/frontend_en_US.xml
      File node ADDED: 2976893035/frontend_fr_FR.xml
      File node ADDED: 2976893035/frontend_de_DE.xml
      File node ADDED: 2976893035/frontend_it_IT.xml
      File node ADDED: 2976893035/frontend_es_ES.xml
      File node ADDED: 2976893035/frontend_ja_JP.xml
      File node ADDED: 2976893035/frontend_ru_RU.xml
      File node ADDED: 2976893035/frontend_pl_PL.xml
      File node ADDED: 2976893035/frontend_zh_Hans_CN.xml
      File node ADDED: 2976893035/frontend_zh_Hant_HK.xml
  InGameActionData -------
    Comment line ADDED!
    UpdateText node ADDED! 2976893035_InGame
      File node ADDED: 2976893035/ingame_en_US.xml
      File node ADDED: 2976893035/ingame_fr_FR.xml
      File node ADDED: 2976893035/ingame_de_DE.xml
      File node ADDED: 2976893035/ingame_it_IT.xml
      File node ADDED: 2976893035/ingame_es_ES.xml
      File node ADDED: 2976893035/ingame_ja_JP.xml
      File node ADDED: 2976893035/ingame_ru_RU.xml
      File node ADDED: 2976893035/ingame_pl_PL.xml
      File node ADDED: 2976893035/ingame_zh_Hans_CN.xml
      File node ADDED: 2976893035/ingame_zh_Hant_HK.xml
  ItemGroups -------
    Folder entry ADDED! 2976893035\ 
    Content entry ADDED! 2976893035\frontend_en_US.xml
    Content entry ADDED! 2976893035\ingame_en_US.xml
    Content entry ADDED! 2976893035\frontend_fr_FR.xml
    Content entry ADDED! 2976893035\ingame_fr_FR.xml
    Content entry ADDED! 2976893035\frontend_de_DE.xml
    Content entry ADDED! 2976893035\ingame_de_DE.xml
    Content entry ADDED! 2976893035\frontend_it_IT.xml
    Content entry ADDED! 2976893035\ingame_it_IT.xml
    Content entry ADDED! 2976893035\frontend_es_ES.xml
    Content entry ADDED! 2976893035\ingame_es_ES.xml
    Content entry ADDED! 2976893035\frontend_ja_JP.xml
    Content entry ADDED! 2976893035\ingame_ja_JP.xml
    Content entry ADDED! 2976893035\frontend_ru_RU.xml
    Content entry ADDED! 2976893035\ingame_ru_RU.xml
    Content entry ADDED! 2976893035\frontend_pl_PL.xml
    Content entry ADDED! 2976893035\ingame_pl_PL.xml
    Content entry ADDED! 2976893035\frontend_zh_Hans_CN.xml
    Content entry ADDED! 2976893035\ingame_zh_Hans_CN.xml
    Content entry ADDED! 2976893035\frontend_zh_Hant_HK.xml
    Content entry ADDED! 2976893035\ingame_zh_Hant_HK.xml

******************************************
*** Finished on 2023-07-08 17:57:07.209726
******************************************
Finished in 454.687084 seconds
Number of requests: 521
  Characters sent: 8771
  Characters received: 15611
      {'en_US': 1793, 'fr_FR': 2054, 'de_DE': 2115, 'it_IT': 1979, 'es_ES': 2013, 'ja_JP': 778, 'ru_RU': 1831, 'pl_PL': 1850, 'ko_KR': 0, 'zh_Hans_CN': 578, 'zh_Hant_HK': 620}
